ds,yhat,yhat_lower,yhat_upper
2003-07-13,23.51560231608405,18.73012047068092,28.737357198477927
2003-07-14,23.547820096092085,18.396931438323826,28.644464532138745
2003-07-15,23.73067059514961,18.47566038917077,28.543502551870834
2003-07-16,23.813223883336615,18.822855963771367,28.538902231865986
2003-07-17,23.794106961194863,18.785739322000612,29.14760539507312
2003-07-18,23.626680911870622,18.428965781124568,28.53601700894454
2003-07-19,23.518948492224553,18.164242199722878,28.642339068110996
2003-07-20,23.488182034899054,18.551179374361958,28.960889456325187
2003-07-21,23.513935343093877,18.568593221536606,28.363984155056222
2003-07-22,23.69687217931035,18.55160247598242,28.883328848677202
2003-07-23,23.785103463092945,18.597558272295792,28.688412142396235
2003-07-24,23.776159800902995,18.96559612970887,28.580711409392567
2003-07-25,23.622202507770794,18.68539647083767,28.396505918076027
2003-07-26,23.529967655532815,18.228128074258738,28.504596293464775
2003-07-27,23.515431924773104,18.796144845820052,28.773932624663818
2003-07-28,23.55686281285859,18.255542260419517,29.13469851309214
2003-07-29,23.753684669160094,18.5018007310372,29.04804462908499
2003-07-30,23.852851575045158,18.583563410049784,28.90393492026036
2003-07-31,23.850852659338166,18.68595884159632,29.08311202351193
2003-08-01,23.698952071611394,18.854287315405394,28.986074167572884
2003-08-02,23.603157333089733,18.577515154568747,28.991306341405014
2003-08-03,23.5789041727753,18.28054998833635,28.488777729374235
2003-08-04,23.60411989595755,18.464008654228486,28.464928237015563
2003-08-05,23.778096428992505,18.610372970466948,28.59078669551533
2003-08-06,23.84786391704378,19.032267154761076,29.233581250849273
2003-08-07,23.810190513610607,18.45720768756814,28.858492526535525
2003-08-08,23.616810818349293,18.41479357104633,28.609871691298054
2003-08-09,23.474377094608435,18.338143168088504,28.683335198230512
2003-08-10,23.39912194960698,18.25242087314899,28.79429067957481
2003-08-11,23.369895244834424,18.58146876248597,28.644519671958214
2003-08-12,23.48700722322915,18.59195183829778,28.43042703103044
2003-08-13,23.498569668424366,18.314810533300623,28.802181066533645
2003-08-14,23.402461740376925,18.061783512486652,28.532337712402924
2003-08-15,23.151523985443042,18.0574248794535,28.409637286991803
